transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,Qty,Rate,Tax,total_amt,Store_type,total,total_normalized
29258453508,270384,2014-02-20,5,3,5,1497,785.925,8270.925,e-Shop,7485,0.9979811574697174
25455265351,267750,2014-02-20,12,6,3,1360,428.4,4508.4,e-Shop,4080,0.5397039030955586
1571002198,275023,2014-02-20,6,5,4,587,246.54,2594.54,e-Shop,2348,0.3065948855989233
36554696014,269345,2014-02-20,3,5,3,1253,394.695,4153.695,e-Shop,3759,0.4965006729475101
56814940239,268799,2014-02-20,7,5,5,368,193.2,2033.2,e-Shop,1840,0.23822341857335128
54295803788,270787,2014-02-20,12,5,5,584,306.6,3226.6,e-Shop,2920,0.3835800807537012
25963520987,274829,2014-02-20,4,4,3,502,158.13,1664.13,Flagship store,1506,0.19327052489905788
17183929085,266863,2014-02-20,1,2,1,1359,142.695,1501.695,TeleShop,1359,0.17348586810228803
44783317894,269452,2014-02-20,3,1,3,825,259.875,2734.875,TeleShop,2475,0.32368775235531627
58957828601,269009,2014-02-20,11,5,4,846,355.32,3739.32,TeleShop,3384,0.44602960969044414
9647515879,268934,2014-02-20,7,5,3,1384,435.96,4587.96,TeleShop,4152,0.5493943472409152
20781077773,269223,2014-02-20,5,3,3,1203,378.945,3987.945,TeleShop,3609,0.4763122476446837
91116291703,268509,2014-02-20,1,2,4,1243,522.06,5494.06,MBR,4972,0.6597577388963661
68325723297,268516,2014-02-20,9,3,1,877,92.085,969.085,e-Shop,877,0.10861372812920592
73235813024,268774,2014-02-20,3,5,1,76,7.98,83.98,TeleShop,76,0.0008075370121130552
80712190438,270351,2014-02-20,1,1,5,772,405.3,4265.3,e-Shop,3860,0.5100942126514132
66989395597,272785,2014-02-20,10,3,2,474,99.54,1047.54,TeleShop,948,0.11816958277254375
99581788104,267466,2014-02-20,3,2,1,96,10.08,106.08,Flagship store,96,0.0034993270524899056
28396777609,269101,2014-02-19,4,1,4,1386,582.12,6126.12,TeleShop,5544,0.736742934051144
22391667321,270842,2014-02-19,1,2,5,723,379.575,3994.575,MBR,3615,0.4771197846567968
51075317246,274987,2014-02-19,10,6,5,374,196.35,2066.35,MBR,1870,0.24226110363391656
16199275450,275139,2014-02-19,4,2,1,173,18.165,191.165,MBR,173,0.01386271870794078
22698449434,269136,2014-02-19,7,5,5,189,99.225,1044.225,TeleShop,945,0.11776581426648722
13167171971,275149,2014-02-19,4,3,4,804,337.68,3553.68,MBR,3216,0.4234185733512786
32130400636,269772,2014-02-19,12,6,3,229,72.135,759.135,e-Shop,687,0.08304172274562584
31384765864,267058,2014-02-19,3,2,1,793,83.265,876.265,e-Shop,793,0.09730820995962315
85894118953,271817,2014-02-19,3,2,3,1401,441.315,4644.315,e-Shop,4203,0.5562584118438761
63407734630,271322,2014-02-19,3,2,5,1360,714.0,7514.0,Flagship store,6800,0.9057873485868102
90740728864,268229,2014-02-19,4,2,5,984,516.6,5436.6,TeleShop,4920,0.6527590847913862
82750983847,267544,2014-02-19,3,5,1,805,84.525,889.525,Flagship store,805,0.09892328398384927
67328698675,268755,2014-02-19,3,2,1,1018,106.89,1124.89,Flagship store,1018,0.12759084791386271
80381707658,269407,2014-02-19,6,5,5,573,300.825,3165.825,e-Shop,2865,0.37617765814266485
78709566028,273023,2014-02-19,10,6,2,1052,220.92,2324.92,e-Shop,2104,0.2737550471063257
67079812295,271818,2014-02-19,10,3,2,1408,295.68,3111.68,MBR,2816,0.3695827725437416
72427583709,268129,2014-02-19,4,4,1,885,92.925,977.925,Flagship store,885,0.10969044414535666
14259136777,274477,2014-02-18,10,3,1,1489,156.345,1645.345,TeleShop,1489,0.19098250336473754
7313351894,267568,2014-02-18,2,6,4,481,202.02,2126.02,Flagship store,1924,0.24952893674293405
37745642681,267098,2014-02-18,1,2,1,109,11.445,120.445,Flagship store,109,0.005248990578734859
13861409908,271608,2014-02-18,1,2,2,1352,283.92,2987.92,MBR,2704,0.35450874831763124
58956348529,272484,2014-02-18,4,1,4,1443,606.06,6378.06,TeleShop,5772,0.7674293405114401
58886320392,268715,2014-02-18,10,6,2,768,161.28,1697.28,Flagship store,1536,0.19730820995962314
53081075361,273250,2014-02-18,11,6,5,1345,706.125,7431.125,Flagship store,6725,0.895693135935397
10017543415,267097,2014-02-18,3,5,1,164,17.22,181.22,Flagship store,164,0.012651413189771197
34065279733,274562,2014-02-18,6,5,2,280,58.8,618.8,e-Shop,560,0.06594885598923284
74085729167,268492,2014-02-18,3,5,3,433,136.395,1435.395,e-Shop,1299,0.16541049798115748
83498320600,273359,2014-02-18,4,1,4,861,361.62,3805.62,e-Shop,3444,0.4541049798115747
83313344780,271288,2014-02-18,4,3,2,84,17.64,185.64,Flagship store,168,0.013189771197846568
96923177403,270778,2014-02-18,11,6,5,1111,583.275,6138.275,MBR,5555,0.7382234185733513
78091789730,271030,2014-02-18,4,1,1,380,39.9,419.9,e-Shop,380,0.04172274562584118
84466140532,274426,2014-02-18,6,5,5,423,222.075,2337.075,e-Shop,2115,0.275235531628533
59232461135,269019,2014-02-17,4,2,2,479,100.59,1058.59,Flagship store,958,0.11951547779273217
58223423237,268138,2014-02-17,6,5,3,1398,440.37,4634.37,e-Shop,4194,0.5550471063257066
60560888204,271250,2014-02-17,10,6,2,707,148.47,1562.47,Flagship store,1414,0.18088829071332435
22643667930,271489,2014-02-17,12,6,1,1225,128.625,1353.625,TeleShop,1225,0.15545087483176312
43561027610,270244,2014-02-17,8,3,1,728,76.44,804.44,e-Shop,728,0.08855989232839838
40604748560,269387,2014-02-17,6,5,5,760,399.0,4199.0,Flagship store,3800,0.5020188425302826
78600072636,273067,2014-02-17,9,3,3,446,140.49,1478.49,TeleShop,1338,0.17065948855989233
79792372943,275108,2014-02-17,3,1,3,908,286.02,3010.02,MBR,2724,0.3572005383580081
94418788162,267559,2014-02-17,10,6,1,620,65.1,685.1,TeleShop,620,0.0740242261103634
86635642295,271763,2014-02-17,12,6,5,562,295.05,3105.05,Flagship store,2810,0.36877523553162855
75980673312,270678,2014-02-17,7,5,4,1377,578.34,6086.34,TeleShop,5508,0.7318977119784656
88830495604,269018,2014-02-17,10,6,4,307,128.94,1356.94,MBR,1228,0.15585464333781965
19729968655,269162,2014-02-16,10,5,2,721,151.41,1593.41,e-Shop,1442,0.18465679676985194
8709975598,269867,2014-02-16,11,5,3,1243,391.545,4120.545,e-Shop,3729,0.4924629878869448
56483064719,270108,2014-02-16,4,3,2,1037,217.77,2291.77,e-Shop,2074,0.2697173620457604
55452156634,273734,2014-02-16,3,5,5,778,408.45,4298.45,e-Shop,3890,0.5141318977119784
22461440770,270294,2014-02-16,4,3,5,1060,556.5,5856.5,e-Shop,5300,0.7039030955585465
4067131912,274014,2014-02-16,3,5,4,332,139.44,1467.44,e-Shop,1328,0.1693135935397039
59201497276,273506,2014-02-16,12,6,3,537,169.155,1780.155,MBR,1611,0.20740242261103634
51750724947,273420,2014-02-16,6,5,2,791,166.11,1748.11,TeleShop,1582,0.2034993270524899
45848212352,268592,2014-02-16,1,2,3,1029,324.135,3411.135,TeleShop,3087,0.4060565275908479
79449440045,271561,2014-02-16,8,3,4,498,209.16,2201.16,e-Shop,1992,0.2586810228802153
83108241933,273896,2014-02-16,4,1,2,574,120.54,1268.54,e-Shop,1148,0.14508748317631226
84867095544,267360,2014-02-16,8,3,3,674,212.31,2234.31,e-Shop,2022,0.2627187079407806
92825360774,267072,2014-02-16,1,2,5,803,421.575,4436.575,e-Shop,4015,0.5309555854643337
76990911956,270148,2014-02-16,4,3,4,448,188.16,1980.16,Flagship store,1792,0.23176312247644684
93274880719,271509,2014-02-16,11,6,3,1363,429.345,4518.345,e-Shop,4089,0.5409152086137281
86612653865,274813,2014-02-16,2,6,3,1271,400.365,4213.365,e-Shop,3813,0.5037685060565276
10262222991,272069,2014-02-15,7,5,3,1462,460.53,4846.53,e-Shop,4386,0.5808882907133244
34544863855,269388,2014-02-15,11,6,2,922,193.62,2037.62,Flagship store,1844,0.23876177658142664
22781866776,271875,2014-02-15,2,6,4,428,179.76,1891.76,TeleShop,1712,0.22099596231493943
4449802598,271355,2014-02-15,12,6,4,999,419.58,4415.58,TeleShop,3996,0.5283983849259758
